"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios",Objetivo,"Importe gastado (ARS)",Impresiones,"CPM (costo por mil impresiones) (ARS)",Frecuencia,Alcance,"Clics (todos)","CPC (costo por clic en el enlace) (ARS)","CPC (todos) (ARS)","CTR (todos)","CTR (porcentaje de clics en el enlace)","Clics en el enlace",Finalización,"Fecha de creación","Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios"
2025-12-30,2026-06-09,"Video 1",not_delivering,1686,actions:leadgen.other,105.73300119,"Con el presupuesto de la campaña",0,"Clientes potenciales",178265.84,127498,1398.185383,2.222187,57375,7782,59.224532,22.907458,6.103625,2.360821,3010,"En curso",2025-12-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-20T16:38:49-0300,-,-,-,"29/12 Leads Huespedes"
2025-12-30,2026-06-09,"Video 2",not_delivering,,,,"Con el presupuesto de la campaña",0,"Clientes potenciales",38.3,25,1532,1.041667,24,0,,0,0,,,"En curso",2025-12-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-20T16:38:49-0300,-,-,-,"29/12 Leads Huespedes"
2025-12-30,2026-06-09,"carrusel queres mudarte ?",not_delivering,,,,"Con el presupuesto de la campaña",0,"Clientes potenciales",23.3,16,1456.25,1,16,0,,0,0,,,"En curso",2025-12-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-20T16:38:49-0300,-,-,-,"29/12 Leads Huespedes"
2025-12-30,2026-06-09,"19/01  huespedes 01",not_delivering,14,actions:leadgen.other,140.12928571,"Con el presupuesto de la campaña",0,"Clientes potenciales",1961.81,1048,1871.956107,1.186863,883,71,70.064643,27.631127,6.774809,2.671756,28,"En curso",2026-01-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-20T16:38:49-0300,-,-,-,"29/12 Leads Huespedes"
2025-12-30,2026-06-09,"19/01 huespedes 02",not_delivering,1,actions:leadgen.other,377.79,"Con el presupuesto de la campaña",0,"Clientes potenciales",377.79,202,1870.247525,1.128492,179,7,94.4475,53.97,3.465347,1.980198,4,"En curso",2026-01-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-20T16:38:49-0300,-,-,-,"29/12 Leads Huespedes"
2025-12-30,2026-06-09,"19/01 huespedes 03",not_delivering,42,actions:leadgen.other,127.20809524,"Con el presupuesto de la campaña",0,"Clientes potenciales",5342.74,3249,1644.425977,1.435071,2264,231,59.363778,23.128745,7.10988,2.770083,90,"En curso",2026-01-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-20T16:38:49-0300,-,-,-,"29/12 Leads Huespedes"
2025-12-30,2026-06-09,"19/01  huespedes  padres",not_delivering,,,,"Con el presupuesto de la campaña",0,"Clientes potenciales",30.75,21,1464.285714,1.05,20,2,,15.375,9.52381,,,"En curso",2026-01-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-20T16:38:49-0300,-,-,-,"29/12 Leads Huespedes"
2025-12-30,2026-06-09,"19/01  huespedes padres 02",not_delivering,931,actions:leadgen.other,99.49851772,"Con el presupuesto de la campaña",0,"Clientes potenciales",92633.12,81911,1130.899635,1.905705,42982,3975,56.656343,23.30393,4.852828,1.996069,1635,"En curso",2026-01-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-20T16:38:49-0300,-,-,-,"29/12 Leads Huespedes"
2025-12-30,2026-06-09,"25/01 Video precio 1",not_delivering,,,,"Con el presupuesto de la campaña",0,"Clientes potenciales",255.45,117,2183.333333,1.035398,113,1,,255.45,0.854701,,,"En curso",2026-01-25,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-20T16:38:49-0300,-,-,-,"29/12 Leads Huespedes"
2025-12-30,2026-06-09,"25/01 Video precio 2",inactive,,,,"Con el presupuesto de la campaña",0,"Clientes potenciales",6.67,9,741.111111,1.125,8,0,,0,0,,,"En curso",2026-01-25,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-20T16:38:49-0300,-,-,-,"29/12 Leads Huespedes"
2025-12-30,2026-06-09,"25/01 Video precio 3",not_delivering,,,,"Con el presupuesto de la campaña",0,"Clientes potenciales",356.34,156,2284.230769,1.033113,151,2,,178.17,1.282051,,,"En curso",2026-01-25,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-20T16:38:49-0300,-,-,-,"29/12 Leads Huespedes"
2025-12-30,2026-06-09,"25/01 Video precio 4",not_delivering,1,actions:leadgen.other,528.27,"Con el presupuesto de la campaña",0,"Clientes potenciales",528.27,191,2765.811518,1.079096,177,10,105.654,52.827,5.235602,2.617801,5,"En curso",2026-01-25,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-20T16:38:49-0300,-,-,-,"29/12 Leads Huespedes"
2025-12-30,2026-06-09,"25/02 carrusel queres mudarte ? - Copia",not_delivering,,,,"Con el presupuesto de la campaña",0,"Clientes potenciales",0,0,0,0,0,0,,0,0,,,"En curso",2026-02-25,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-20T16:38:49-0300,-,-,-,"29/12 Leads Huespedes"
