"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios",Objetivo,"Importe gastado (ARS)",Impresiones,"CPM (costo por mil impresiones) (ARS)",Frecuencia,Alcance,"Clics (todos)","CPC (costo por clic en el enlace) (ARS)","CPC (todos) (ARS)","CTR (todos)","CTR (porcentaje de clics en el enlace)","Clics en el enlace",Finalización,"Fecha de creación","Configuración de atribución"
2025-12-29,2026-06-09,leads,inactive,,,,1561.28,Diario,"Clientes potenciales",0,0,0,0,0,0,,0,0,,,"En curso",2026-03-11,"7 días tras clic o 1 día tras visualización"
2025-12-29,2026-06-09,"LEADS - PROPIETARIOS | CBO",inactive,368,actions:leadgen.other,1716.03434783,12000,Diario,"Clientes potenciales",631500.64,232401,2717.288824,3.076448,75542,2779,392.480199,227.240245,1.195778,0.692338,1609,"En curso",2025-12-30,"7 días tras clic o 1 día tras visualización"
2025-12-29,2026-06-09,"LEADS - HUESPEDES | CBO",inactive,2675,actions:leadgen.other,104.60574953,4000,Diario,"Clientes potenciales",279820.38,214443,1304.870665,2.523601,84975,12081,58.637967,23.162021,5.633665,2.2253,4772,"En curso",2025-12-30,"7 días tras clic o 1 día tras visualización"
2025-12-29,2026-06-09,"LEADS - HUESPEDES | ABO",inactive,221,actions:onsite_conversion.messaging_conversation_started_7d,1177.84963801,"Con el presupuesto del conjunto de anuncios",0,"Clientes potenciales",260304.77,114836,2266.752325,2.436114,47139,5049,122.036929,51.555708,4.396705,1.857431,2133,"En curso",2026-01-27,"7 días tras clic o 1 día tras visualización"
2025-12-29,2026-06-09,"LEADS - Inquilinos | CBO - Campaña de clientes potenciales personalizada  Campaña",inactive,660,profile_visit_view,42.98986364,"Con el presupuesto del conjunto de anuncios",0,Tráfico,28373.31,47831,593.19918,1.064638,44927,685,40.76625,41.420891,1.432126,1.455123,696,"En curso",2026-03-11,"1 día tras clic"
2025-12-29,2026-06-09,"[A] Propietarios Premium | CBO | Marzo 2026",not_delivering,102,actions:leadgen.other,5206.25382353,8000,Diario,"Clientes potenciales",531037.89,54426,9757.062617,2.323614,23423,1064,802.172039,499.095761,1.954948,1.21633,662,"En curso",2026-03-27,"7 días tras clic o 1 día tras visualización"
2025-12-29,2026-06-09,"B — Awareness Propietarios | Reach",not_delivering,174714,reach,781.22743455,2000,Diario,Reconocimiento,136491.37,455485,299.661613,2.607032,174714,364,509.296157,374.976291,0.079915,0.058838,268,"En curso",2026-03-27,"7 días tras clic o 1 día tras visualización"
2025-12-29,2026-06-09,"C — Retargeting Propietarios | WhatsApp (ABO)",not_delivering,119,actions:onsite_conversion.messaging_conversation_started_7d,1157.60571429,2000,Diario,Interacción,137755.08,25526,5396.657526,1.758837,14513,477,1067.868837,288.794717,1.868683,0.505367,129,"En curso",2026-03-27,"7 días tras clic o 1 día tras visualización"
2025-12-29,2026-06-09,"D — Inquilinos | ABO (mantenimiento)",not_delivering,438,actions:onsite_conversion.messaging_conversation_started_7d,316.60440639,2000,Diario,Interacción,138672.73,56987,2433.409901,1.828499,31166,1385,238.269296,100.124715,2.430379,1.021286,582,"En curso",2026-03-27,"7 días tras clic o 1 día tras visualización"
2025-12-29,2026-06-09,"E — Huéspedes Premium | CBO",not_delivering,578,actions:onsite_conversion.messaging_conversation_started_7d,598.53847751,10000,Diario,Interacción,345955.24,108640,3184.41863,2.660723,40831,2924,284.971367,118.315746,2.691458,1.117452,1214,"En curso",2026-04-15,"7 días tras clic o 1 día tras visualización"
